license_no,restaurant_name,cuisine,area,emirate,inspection_count_2023_2026,violation_count_2023_2026,major_violation_count,repeat_offender_flag,closure_events,ever_closed_flag,dm_star_rating,last_inspection_date
DM-100035,Restaurant 35,Persian,Silicon Oasis,Dubai,11,8,0,1,0,0,2,28-03-2023
DM-100036,Restaurant 36,Arabic,Marina,Dubai,11,11,9,1,2,1,3,28-03-2023
DM-100037,Restaurant 37,Korean,DIFC,Dubai,11,13,5,1,2,1,4,06-01-2026
DM-100038,Restaurant 38,Pakistani,Marina,Dubai,7,4,2,1,0,0,2,13-11-2024
DM-100039,Restaurant 39,Japanese,JLT,Dubai,12,1,0,0,1,1,5,06-07-2024
DM-100040,Restaurant 40,Pakistani,Jumeirah,Dubai,10,4,2,1,1,1,4,24-08-2023
DM-100041,Restaurant 41,French,Marina,Dubai,1,2,1,0,1,1,2,05-04-2025
DM-100042,Restaurant 42,Korean,JLT,Dubai,5,15,15,1,0,0,1,21-11-2024
DM-100043,Restaurant 43,Korean,JLT,Dubai,2,15,13,0,1,1,1,19-03-2023
DM-100044,Restaurant 44,Chinese,JLT,Dubai,12,12,12,0,0,0,5,28-06-2023
DM-100045,Restaurant 45,Indian,Bur Dubai,Dubai,4,0,0,0,0,0,4,17-03-2025
DM-100046,Restaurant 46,American,Silicon Oasis,Dubai,5,6,3,1,1,1,5,21-06-2023
DM-100047,Restaurant 47,Japanese,Marina,Dubai,5,11,1,0,1,1,2,11-05-2023
DM-100048,Restaurant 48,Korean,Deira,Dubai,9,3,3,1,2,1,2,26-03-2025
DM-100049,Restaurant 49,Chinese,Marina,Dubai,11,4,0,0,0,0,5,10-02-2024
DM-100050,Restaurant 50,French,Al Barsha,Dubai,6,15,4,0,0,0,5,28-02-2026
DM-100051,Restaurant 51,Italian,Al Barsha,Dubai,9,15,15,1,2,1,3,18-02-2024
DM-100052,Restaurant 52,American,DIFC,Dubai,4,10,0,0,1,1,3,11-12-2025
DM-100053,Restaurant 53,Pakistani,Business Bay,Dubai,10,9,7,0,1,1,5,16-05-2023
DM-100054,Restaurant 54,Thai,Bur Dubai,Dubai,9,4,0,0,0,0,2,07-09-2024
DM-100055,Restaurant 55,Arabic,Downtown,Dubai,6,11,8,0,0,0,4,21-02-2025
DM-100056,Restaurant 56,Mexican,Silicon Oasis,Dubai,9,2,2,0,0,0,5,23-05-2025
DM-100057,Restaurant 57,Mexican,Marina,Dubai,5,7,0,1,1,1,4,01-01-2023
DM-100058,Restaurant 58,Lebanese,Jumeirah,Dubai,5,15,8,1,1,1,1,12-09-2024
DM-100059,Restaurant 59,Thai,Al Barsha,Dubai,7,4,1,1,0,0,2,10-08-2024
DM-100060,Restaurant 60,Lebanese,JLT,Dubai,1,13,2,0,0,0,4,04-10-2025
DM-100061,Restaurant 61,Mexican,DIFC,Dubai,12,13,0,0,0,0,3,12-08-2025
DM-100062,Restaurant 62,Italian,Downtown,Dubai,1,4,0,0,0,0,4,08-03-2023
DM-100063,Restaurant 63,Turkish,DIFC,Dubai,3,11,3,0,1,1,1,24-02-2025
DM-100064,Restaurant 64,Thai,Downtown,Dubai,2,14,9,0,0,0,5,22-11-2024
DM-100065,Restaurant 65,Persian,Bur Dubai,Dubai,11,9,1,1,0,0,4,28-11-2025
DM-100066,Restaurant 66,Korean,Marina,Dubai,1,11,3,0,1,1,4,21-07-2025
DM-100067,Restaurant 67,Japanese,Bur Dubai,Dubai,1,8,0,0,0,0,4,01-12-2025
DM-100068,Restaurant 68,Persian,DIFC,Dubai,10,13,8,0,0,0,1,17-09-2024
DM-100069,Restaurant 69,Indian,Jumeirah,Dubai,7,13,1,1,0,0,1,23-07-2023
DM-100070,Restaurant 70,Italian,Jumeirah,Dubai,12,13,0,0,1,1,4,14-10-2025
DM-100071,Restaurant 71,Mexican,JLT,Dubai,12,2,0,1,0,0,3,05-01-2025
DM-100072,Restaurant 72,Lebanese,Deira,Dubai,6,7,5,1,0,0,1,25-05-2023
DM-100073,Restaurant 73,Turkish,Jumeirah,Dubai,4,0,0,0,0,0,1,25-01-2025
DM-100074,Restaurant 74,Lebanese,Deira,Dubai,10,14,1,0,0,0,2,03-09-2025
DM-100075,Restaurant 75,Japanese,Business Bay,Dubai,3,11,5,0,0,0,2,27-08-2025
DM-100076,Restaurant 76,Chinese,Business Bay,Dubai,9,2,0,1,0,0,5,28-12-2025
DM-100077,Restaurant 77,Turkish,Business Bay,Dubai,3,4,1,0,1,1,2,08-10-2024
DM-100078,Restaurant 78,American,Marina,Dubai,4,13,10,0,1,1,3,05-04-2023
DM-100079,Restaurant 79,Korean,Jumeirah,Dubai,10,2,0,0,1,1,1,10-05-2025
DM-100080,Restaurant 80,Chinese,Silicon Oasis,Dubai,7,11,1,0,1,1,3,23-05-2024
DM-100081,Restaurant 81,French,JLT,Dubai,11,0,0,0,1,1,4,18-10-2024
DM-100082,Restaurant 82,French,Marina,Dubai,6,5,0,1,1,1,1,21-07-2024
DM-100083,Restaurant 83,Indian,Silicon Oasis,Dubai,10,5,3,0,1,1,4,03-06-2025
DM-100084,Restaurant 84,Pakistani,Marina,Dubai,8,11,7,1,2,1,2,27-06-2023
DM-100085,Restaurant 85,French,Marina,Dubai,5,14,0,0,1,1,5,23-03-2024
DM-100086,Restaurant 86,Chinese,Bur Dubai,Dubai,11,4,3,1,2,1,5,23-08-2025
DM-100087,Restaurant 87,Indian,Downtown,Dubai,4,3,2,1,1,1,1,25-03-2023
DM-100088,Restaurant 88,Arabic,Business Bay,Dubai,7,8,5,1,1,1,1,03-08-2024
DM-100089,Restaurant 89,Korean,Marina,Dubai,10,8,4,0,0,0,1,28-12-2025
DM-100090,Restaurant 90,Japanese,Bur Dubai,Dubai,9,13,13,0,0,0,1,16-08-2024
DM-100091,Restaurant 91,Chinese,Silicon Oasis,Dubai,3,3,3,0,0,0,5,18-01-2026
DM-100092,Restaurant 92,Italian,Business Bay,Dubai,5,4,1,1,1,1,5,10-09-2023
DM-100093,Restaurant 93,Lebanese,Bur Dubai,Dubai,7,4,4,1,2,1,4,04-09-2024
DM-100094,Restaurant 94,Japanese,Downtown,Dubai,12,15,10,1,0,0,4,06-10-2025
DM-100095,Restaurant 95,Persian,Deira,Dubai,8,1,0,1,0,0,4,22-02-2023
DM-100096,Restaurant 96,Japanese,Downtown,Dubai,7,12,0,0,0,0,1,09-01-2025
DM-100097,Restaurant 97,Arabic,Bur Dubai,Dubai,10,7,2,0,1,1,3,12-08-2024
DM-100098,Restaurant 98,Filipino,Bur Dubai,Dubai,7,12,2,1,2,1,3,08-11-2024
DM-100099,Restaurant 99,Italian,Al Barsha,Dubai,3,10,2,0,1,1,2,03-03-2024
DM-100100,Restaurant 100,Mexican,Jumeirah,Dubai,8,15,12,1,1,1,4,26-03-2024
DM-100101,Restaurant 101,Thai,Marina,Dubai,8,1,0,0,0,0,4,23-06-2023
DM-100102,Restaurant 102,Korean,Jumeirah,Dubai,6,9,9,0,0,0,2,27-06-2023
DM-100103,Restaurant 103,Lebanese,Silicon Oasis,Dubai,5,1,1,1,1,1,4,20-07-2025
DM-100104,Restaurant 104,French,Business Bay,Dubai,12,8,0,1,0,0,3,31-03-2023
DM-100105,Restaurant 105,Arabic,Jumeirah,Dubai,6,4,0,0,1,1,1,26-05-2025
DM-100106,Restaurant 106,Persian,Marina,Dubai,10,14,3,1,2,1,2,26-11-2024
DM-100107,Restaurant 107,Turkish,Bur Dubai,Dubai,10,14,14,0,1,1,3,27-10-2024
DM-100108,Restaurant 108,Chinese,Deira,Dubai,9,2,0,0,0,0,3,10-12-2025
DM-100109,Restaurant 109,Japanese,Marina,Dubai,4,9,8,1,2,1,3,26-02-2025
DM-100110,Restaurant 110,Chinese,Downtown,Dubai,6,2,0,0,0,0,3,01-08-2025
DM-100111,Restaurant 111,French,Downtown,Dubai,1,14,7,0,1,1,4,30-08-2023
DM-100112,Restaurant 112,Indian,Bur Dubai,Dubai,4,6,3,0,0,0,4,07-06-2023
DM-100113,Restaurant 113,Korean,Al Barsha,Dubai,9,7,7,1,0,0,2,26-03-2024
DM-100114,Restaurant 114,Pakistani,Business Bay,Dubai,6,9,9,1,1,1,1,13-01-2026
DM-100115,Restaurant 115,Thai,Marina,Dubai,12,14,8,1,1,1,5,18-06-2024
DM-100116,Restaurant 116,Chinese,Marina,Dubai,1,3,1,0,0,0,5,29-04-2025
DM-100117,Restaurant 117,Filipino,Marina,Dubai,5,3,3,0,1,1,1,12-07-2024
DM-100118,Restaurant 118,Indian,DIFC,Dubai,6,7,1,0,1,1,2,27-11-2025
DM-100119,Restaurant 119,Chinese,JLT,Dubai,4,9,9,1,2,1,4,17-12-2023
DM-100120,Restaurant 120,Pakistani,Deira,Dubai,9,0,0,1,1,1,5,21-03-2025
DM-100121,Restaurant 121,Pakistani,Jumeirah,Dubai,9,15,6,0,0,0,2,26-04-2024
DM-100122,Restaurant 122,Lebanese,Jumeirah,Dubai,4,4,3,1,1,1,5,10-08-2023
DM-100123,Restaurant 123,Turkish,Deira,Dubai,9,9,0,1,1,1,4,26-03-2024
DM-100124,Restaurant 124,American,Jumeirah,Dubai,11,10,1,1,2,1,4,14-06-2024
DM-100125,Restaurant 125,Pakistani,DIFC,Dubai,7,12,0,0,1,1,3,03-03-2024
DM-100126,Restaurant 126,Arabic,JLT,Dubai,12,7,4,0,1,1,4,05-12-2024
DM-100127,Restaurant 127,Persian,Jumeirah,Dubai,5,1,0,0,1,1,5,24-12-2024
DM-100128,Restaurant 128,Arabic,Downtown,Dubai,11,1,0,0,0,0,2,07-04-2024
DM-100129,Restaurant 129,Persian,JLT,Dubai,2,13,2,0,0,0,3,19-03-2024
DM-100130,Restaurant 130,French,Al Barsha,Dubai,3,5,5,0,1,1,3,04-11-2024
DM-100131,Restaurant 131,Lebanese,Al Barsha,Dubai,7,14,12,0,1,1,3,27-03-2023
DM-100132,Restaurant 132,Turkish,Bur Dubai,Dubai,7,4,4,1,0,0,1,18-11-2025
DM-100133,Restaurant 133,Korean,Jumeirah,Dubai,2,5,1,0,1,1,2,15-02-2023
DM-100134,Restaurant 134,Thai,Jumeirah,Dubai,12,3,3,0,0,0,4,04-11-2023
DM-100135,Restaurant 135,Turkish,DIFC,Dubai,1,12,0,0,1,1,3,16-03-2023
DM-100136,Restaurant 136,French,Bur Dubai,Dubai,6,14,3,1,2,1,2,05-11-2025
DM-100137,Restaurant 137,Japanese,Jumeirah,Dubai,12,15,12,1,1,1,3,31-01-2023
DM-100138,Restaurant 138,Chinese,Silicon Oasis,Dubai,5,8,0,1,0,0,5,22-07-2025
DM-100139,Restaurant 139,Italian,Bur Dubai,Dubai,7,0,0,1,1,1,1,12-03-2023
DM-100140,Restaurant 140,Chinese,DIFC,Dubai,12,10,6,1,2,1,2,28-05-2024
DM-100141,Restaurant 141,Filipino,Bur Dubai,Dubai,10,11,2,1,0,0,5,10-11-2023
DM-100142,Restaurant 142,Japanese,Deira,Dubai,10,11,4,0,0,0,3,23-08-2024
DM-100143,Restaurant 143,Japanese,Downtown,Dubai,7,4,4,1,0,0,1,31-03-2023
DM-100144,Restaurant 144,French,Jumeirah,Dubai,6,6,0,0,1,1,3,29-01-2026
DM-100145,Restaurant 145,Mexican,Al Barsha,Dubai,5,5,4,0,0,0,1,14-08-2023
DM-100146,Restaurant 146,American,Silicon Oasis,Dubai,10,9,4,1,1,1,3,28-01-2023
DM-100147,Restaurant 147,Italian,Business Bay,Dubai,5,13,12,1,1,1,2,18-10-2023
DM-100148,Restaurant 148,Korean,Deira,Dubai,9,14,0,0,1,1,3,24-02-2026
DM-100149,Restaurant 149,Mexican,Al Barsha,Dubai,11,5,5,0,0,0,3,03-02-2024
DM-100150,Restaurant 150,Persian,JLT,Dubai,11,7,4,1,0,0,2,15-01-2024
DM-100151,Restaurant 151,Thai,Al Barsha,Dubai,2,14,13,0,1,1,2,08-11-2025
DM-100152,Restaurant 152,Mexican,Bur Dubai,Dubai,4,13,10,0,1,1,1,19-03-2025
DM-100153,Restaurant 153,Chinese,Business Bay,Dubai,7,2,1,1,2,1,3,03-03-2023
DM-100154,Restaurant 154,French,Deira,Dubai,5,13,12,0,1,1,4,08-03-2025
DM-100155,Restaurant 155,Lebanese,Deira,Dubai,10,4,4,1,1,1,5,24-07-2024
DM-100156,Restaurant 156,Japanese,Deira,Dubai,7,1,0,1,2,1,2,12-12-2024
DM-100157,Restaurant 157,Japanese,Deira,Dubai,2,15,1,0,0,0,1,06-10-2024
DM-100158,Restaurant 158,Mexican,Deira,Dubai,6,13,10,1,0,0,3,19-10-2023
DM-100159,Restaurant 159,Turkish,Jumeirah,Dubai,7,5,1,1,2,1,1,02-10-2023
DM-100160,Restaurant 160,Mexican,Downtown,Dubai,12,12,2,0,0,0,5,06-12-2024
DM-100161,Restaurant 161,Thai,DIFC,Dubai,2,5,2,0,0,0,5,17-02-2024
DM-100162,Restaurant 162,Thai,Business Bay,Dubai,6,14,14,1,1,1,5,14-11-2023
DM-100163,Restaurant 163,Thai,Downtown,Dubai,9,5,5,0,0,0,5,15-11-2025
DM-100164,Restaurant 164,Arabic,JLT,Dubai,2,7,7,0,0,0,4,05-12-2025
DM-100165,Restaurant 165,Pakistani,JLT,Dubai,11,1,0,0,1,1,5,26-11-2025
DM-100166,Restaurant 166,Japanese,Deira,Dubai,2,11,9,0,0,0,4,13-07-2025
DM-100167,Restaurant 167,Japanese,Al Barsha,Dubai,9,4,2,1,2,1,1,16-02-2023
DM-100168,Restaurant 168,Pakistani,Jumeirah,Dubai,1,6,0,0,1,1,5,27-04-2025
DM-100169,Restaurant 169,Persian,Deira,Dubai,12,5,2,1,1,1,1,08-06-2023
DM-100170,Restaurant 170,Italian,Deira,Dubai,8,8,4,1,2,1,5,26-02-2026
DM-100171,Restaurant 171,Korean,Downtown,Dubai,7,8,3,0,0,0,4,04-03-2025
DM-100172,Restaurant 172,Indian,JLT,Dubai,2,11,0,0,0,0,1,29-12-2023
DM-100173,Restaurant 173,Italian,DIFC,Dubai,12,15,15,0,1,1,4,14-06-2023
DM-100174,Restaurant 174,Korean,Deira,Dubai,9,3,0,1,1,1,1,14-11-2024
DM-100175,Restaurant 175,Japanese,Bur Dubai,Dubai,8,9,0,0,0,0,5,02-01-2023
DM-100176,Restaurant 176,Italian,JLT,Dubai,3,5,1,0,0,0,2,11-05-2024
DM-100177,Restaurant 177,Mexican,DIFC,Dubai,6,1,0,0,1,1,4,07-05-2024
DM-100178,Restaurant 178,Persian,Business Bay,Dubai,6,7,2,0,0,0,3,11-05-2025
DM-100179,Restaurant 179,French,JLT,Dubai,10,0,0,0,1,1,5,12-01-2023
DM-100180,Restaurant 180,Persian,Al Barsha,Dubai,12,0,0,0,0,0,1,10-11-2025
DM-100181,Restaurant 181,Arabic,Deira,Dubai,1,4,1,0,0,0,5,16-02-2025
DM-100182,Restaurant 182,Thai,Deira,Dubai,7,7,2,1,2,1,3,15-01-2025
DM-100183,Restaurant 183,American,Marina,Dubai,9,13,9,1,0,0,2,19-12-2024
DM-100184,Restaurant 184,Indian,Al Barsha,Dubai,7,7,6,0,1,1,4,06-05-2024
DM-100185,Restaurant 185,Persian,Downtown,Dubai,7,11,8,0,1,1,3,14-02-2023
DM-100186,Restaurant 186,Turkish,DIFC,Dubai,8,10,6,0,1,1,1,07-08-2023
DM-100187,Restaurant 187,American,Deira,Dubai,3,13,11,0,1,1,1,16-03-2025
DM-100188,Restaurant 188,Italian,Bur Dubai,Dubai,12,5,1,1,2,1,4,28-11-2024
DM-100189,Restaurant 189,French,Al Barsha,Dubai,3,3,2,0,1,1,5,08-12-2024
DM-100190,Restaurant 190,Pakistani,JLT,Dubai,8,5,5,0,0,0,3,26-10-2024
DM-100191,Restaurant 191,Chinese,Al Barsha,Dubai,11,13,0,0,1,1,5,20-04-2025
DM-100192,Restaurant 192,Chinese,Al Barsha,Dubai,12,4,0,0,1,1,2,01-01-2025
DM-100193,Restaurant 193,Pakistani,Deira,Dubai,7,2,1,1,1,1,1,20-01-2026
DM-100194,Restaurant 194,Lebanese,Silicon Oasis,Dubai,3,6,1,0,0,0,2,12-04-2024
DM-100195,Restaurant 195,Arabic,Silicon Oasis,Dubai,3,9,5,0,1,1,3,31-08-2023
DM-100196,Restaurant 196,Thai,Al Barsha,Dubai,5,10,8,0,1,1,5,24-10-2023
DM-100197,Restaurant 197,Mexican,Al Barsha,Dubai,12,11,6,1,0,0,4,23-08-2025
DM-100198,Restaurant 198,American,Business Bay,Dubai,7,4,0,1,0,0,2,25-11-2025
DM-100199,Restaurant 199,Indian,Marina,Dubai,10,5,3,0,1,1,5,24-06-2023
DM-100200,Restaurant 200,Thai,Deira,Dubai,1,15,10,0,0,0,3,10-08-2023
DM-100201,Restaurant 201,Persian,Downtown,Dubai,6,7,2,1,2,1,4,24-02-2026
DM-100202,Restaurant 202,American,Bur Dubai,Dubai,9,13,9,0,0,0,2,02-03-2024
DM-100203,Restaurant 203,French,Al Barsha,Dubai,5,5,3,0,0,0,4,20-04-2023
DM-100204,Restaurant 204,Mexican,Al Barsha,Dubai,2,7,7,0,1,1,3,22-03-2023
DM-100205,Restaurant 205,French,DIFC,Dubai,2,15,12,0,1,1,5,26-08-2025
DM-100206,Restaurant 206,Chinese,Jumeirah,Dubai,4,4,3,1,0,0,3,21-05-2023
DM-100207,Restaurant 207,Indian,Downtown,Dubai,7,8,7,1,2,1,1,15-04-2024
DM-100208,Restaurant 208,Korean,Bur Dubai,Dubai,5,4,0,0,1,1,1,08-10-2023
DM-100209,Restaurant 209,Turkish,Silicon Oasis,Dubai,4,15,3,0,0,0,4,26-08-2025
DM-100210,Restaurant 210,American,JLT,Dubai,6,7,7,0,0,0,2,29-09-2024
DM-100211,Restaurant 211,Chinese,Marina,Dubai,1,10,1,0,1,1,3,08-06-2023
DM-100212,Restaurant 212,Chinese,DIFC,Dubai,7,4,1,0,1,1,4,12-08-2024
DM-100213,Restaurant 213,Mexican,Marina,Dubai,12,9,6,1,2,1,3,22-09-2023
DM-100214,Restaurant 214,Korean,Bur Dubai,Dubai,7,7,5,1,2,1,4,04-01-2025
DM-100215,Restaurant 215,Italian,Business Bay,Dubai,6,3,3,1,2,1,3,19-08-2024
DM-100216,Restaurant 216,Indian,Downtown,Dubai,3,5,2,0,1,1,2,19-10-2025
DM-100217,Restaurant 217,Filipino,Bur Dubai,Dubai,11,14,14,1,1,1,4,27-03-2024
DM-100218,Restaurant 218,Persian,Al Barsha,Dubai,9,10,8,1,1,1,2,04-01-2023
DM-100219,Restaurant 219,Indian,Downtown,Dubai,6,1,0,1,0,0,4,12-04-2025
DM-100220,Restaurant 220,Indian,Business Bay,Dubai,4,5,5,1,0,0,1,15-01-2025
DM-100221,Restaurant 221,Arabic,Marina,Dubai,1,0,0,0,0,0,4,27-08-2023
DM-100222,Restaurant 222,Korean,DIFC,Dubai,10,6,6,0,0,0,4,04-01-2023
DM-100223,Restaurant 223,American,DIFC,Dubai,7,7,6,0,0,0,2,21-02-2025
DM-100224,Restaurant 224,French,Deira,Dubai,7,8,0,0,1,1,1,11-12-2024
DM-100225,Restaurant 225,Lebanese,JLT,Dubai,6,2,1,1,2,1,2,31-07-2023
DM-100226,Restaurant 226,Lebanese,Bur Dubai,Dubai,5,4,3,0,0,0,5,29-02-2024
DM-100227,Restaurant 227,Turkish,JLT,Dubai,4,3,0,1,2,1,5,30-08-2025
DM-100228,Restaurant 228,Indian,Silicon Oasis,Dubai,8,10,2,1,0,0,4,02-05-2025
DM-100229,Restaurant 229,Chinese,Al Barsha,Dubai,2,14,3,0,1,1,2,19-12-2024
DM-100230,Restaurant 230,French,Al Barsha,Dubai,1,12,12,0,1,1,1,02-07-2025
DM-100231,Restaurant 231,Filipino,Al Barsha,Dubai,4,4,1,1,1,1,4,21-06-2025
DM-100232,Restaurant 232,Chinese,JLT,Dubai,11,2,0,1,2,1,2,06-09-2024
DM-100233,Restaurant 233,Mexican,Silicon Oasis,Dubai,11,10,0,0,0,0,2,15-11-2024
DM-100234,Restaurant 234,Korean,DIFC,Dubai,3,6,3,0,1,1,4,13-10-2025
DM-100235,Restaurant 235,Filipino,Jumeirah,Dubai,7,6,5,0,1,1,5,02-11-2024
DM-100236,Restaurant 236,Pakistani,Silicon Oasis,Dubai,9,15,6,1,0,0,5,22-06-2025
DM-100237,Restaurant 237,Arabic,Marina,Dubai,8,0,0,1,2,1,2,08-05-2023
DM-100238,Restaurant 238,Pakistani,Marina,Dubai,8,13,10,0,0,0,5,09-08-2024
DM-100239,Restaurant 239,Mexican,JLT,Dubai,8,11,11,0,0,0,3,16-06-2025
DM-100240,Restaurant 240,Italian,Downtown,Dubai,11,4,1,1,1,1,1,21-08-2023
DM-100241,Restaurant 241,Thai,Jumeirah,Dubai,7,6,2,1,2,1,5,06-04-2023
DM-100242,Restaurant 242,Arabic,Al Barsha,Dubai,4,13,8,0,1,1,5,07-03-2024
DM-100243,Restaurant 243,Persian,Deira,Dubai,11,12,8,0,1,1,3,05-01-2026
DM-100244,Restaurant 244,Indian,Bur Dubai,Dubai,10,13,9,1,0,0,2,07-01-2025
DM-100245,Restaurant 245,Chinese,Bur Dubai,Dubai,12,0,0,0,0,0,5,11-11-2023
DM-100246,Restaurant 246,French,Business Bay,Dubai,2,7,6,0,1,1,3,25-02-2025
DM-100247,Restaurant 247,Lebanese,Silicon Oasis,Dubai,6,1,0,0,1,1,1,08-10-2024
DM-100248,Restaurant 248,Persian,DIFC,Dubai,10,15,13,1,0,0,5,16-10-2024
DM-100249,Restaurant 249,Italian,Deira,Dubai,2,4,1,0,1,1,5,05-03-2023
DM-100250,Restaurant 250,Indian,Al Barsha,Dubai,4,12,1,0,1,1,3,05-12-2024
DM-100251,Restaurant 251,Chinese,JLT,Dubai,10,0,0,0,0,0,3,11-10-2025
DM-100252,Restaurant 252,Korean,Deira,Dubai,11,11,1,1,1,1,2,23-02-2026
DM-100253,Restaurant 253,Italian,Bur Dubai,Dubai,5,4,3,0,0,0,5,12-03-2023
DM-100254,Restaurant 254,American,Marina,Dubai,6,7,6,0,0,0,2,17-02-2024
DM-100255,Restaurant 255,Turkish,Downtown,Dubai,6,6,1,0,1,1,3,11-08-2025
DM-100256,Restaurant 256,Korean,JLT,Dubai,3,0,0,0,1,1,5,02-11-2024
DM-100257,Restaurant 257,Chinese,JLT,Dubai,1,0,0,0,0,0,5,23-08-2023
DM-100258,Restaurant 258,Pakistani,Business Bay,Dubai,4,13,8,1,1,1,1,25-12-2025
DM-100259,Restaurant 259,Korean,Al Barsha,Dubai,2,14,5,0,0,0,5,23-12-2023
DM-100260,Restaurant 260,Chinese,Marina,Dubai,11,1,0,1,2,1,3,17-01-2023
DM-100261,Restaurant 261,Persian,Business Bay,Dubai,2,9,0,0,1,1,3,24-05-2024
DM-100262,Restaurant 262,Korean,Silicon Oasis,Dubai,3,1,1,0,1,1,5,07-05-2025
DM-100263,Restaurant 263,Chinese,DIFC,Dubai,4,15,14,1,1,1,5,09-09-2023
DM-100264,Restaurant 264,Italian,JLT,Dubai,3,15,12,0,0,0,2,04-03-2023
DM-100265,Restaurant 265,Filipino,Bur Dubai,Dubai,5,14,0,0,0,0,2,11-01-2025
DM-100266,Restaurant 266,American,Al Barsha,Dubai,2,9,4,0,0,0,4,07-04-2025
DM-100267,Restaurant 267,Italian,Downtown,Dubai,12,11,3,0,0,0,5,25-05-2024
DM-100268,Restaurant 268,Pakistani,Marina,Dubai,5,8,8,0,0,0,5,25-02-2023
DM-100269,Restaurant 269,Pakistani,Marina,Dubai,12,7,2,1,2,1,2,11-12-2023
DM-100270,Restaurant 270,Lebanese,Marina,Dubai,9,14,12,1,2,1,1,14-02-2024
DM-100271,Restaurant 271,Arabic,Al Barsha,Dubai,3,12,3,0,1,1,5,27-02-2025
DM-100272,Restaurant 272,American,Silicon Oasis,Dubai,8,0,0,0,0,0,1,22-01-2023
DM-100273,Restaurant 273,Lebanese,Marina,Dubai,12,13,5,1,1,1,3,22-03-2025
DM-100274,Restaurant 274,Chinese,Bur Dubai,Dubai,3,1,0,0,0,0,2,13-11-2025
DM-100275,Restaurant 275,Thai,Bur Dubai,Dubai,12,4,4,1,0,0,4,09-11-2025
